"obsid","xid","dist_pc","filter","wave","model_jy","star_jy","chi_star","ra_obs","de_obs"
1342216573,"HD 187662",139.99132053812664,"PACS70","70",0.0217706,0.00121984,11.8847,297.8887089685533,-11.821421456874809
1342216575,"HD 179520",58.676837318468536,"PACS70","70",0.0240806,0.0027371,11.6024,288.4847643437374,-26.876541265005724
1342225268,"BD+32 2899",66.89365915004917,"PACS70","70",0.0158146,0.000871393,11.0174,260.2982880918789,32.53605304891253
1342225288,"HD 140614",60.74227054607301,"PACS70","70",0.108285,0.00251447,33.4977,236.12567578226464,3.3698723670602835
1342225296,"* 33 Lib",80.10638127433232,"PACS70","70",0.0652467,0.00260248,25.9363,232.394529179112,-17.440914450370776
1342225302,"HD 133803",110.71009454642073,"PACS70","70",0.0188585,0.000909744,12.3859,226.812134382978,-29.504575600277388
1342225324,"HD 10269",46.85508658820001,"PACS70","70",0.0350643,0.0032828,21.7378,24.782298190214487,-56.42947726324211
1342225405,"HD 134888",112.31664308017163,"PACS70","70",0.104675,0.000734913,34.3009,228.3664207339851,-33.14736891291657
1342225407,"HD 129927",127.58682283293781,"PACS70","70",0.00292897,0.000900792,4.93846,221.54358671545052,-30.970196661734736
1342227144,"HD 145504",141.49274849663954,"PACS70","70",0.00506855,0.000592597,3.92405,243.02466724871766,-23.24581249907442
1342231905,"HD 159502",125.00312507812696,"PACS70","70",0.00887757,0.000968618,6.46279,263.4949576936197,29.096500209376035
1342233198,"HD 176894",82.99995020002989,"PACS70","70",0.0418648,0.00164495,25.2357,285.1331545907118,41.68426994207795
1342233206,"HD 161767",129.60922817704622,"PACS70","70",0.00110081,0.00110081,1.58009,266.0311683773425,56.19331739838559
1342233549,"BD+68 861",66.37549947563356,"PACS70","70",0.000579921,0.000579921,1.83468,240.78140039212923,68.52696558000875
1342233569,"HD 172669",36.118816458622284,"PACS70","70",0.00315188,0.00315188,0.984362,279.0983084763235,66.91305275333576
1342234335,"HD 183970",49.68573770899064,"PACS70","70",0.0863487,0.00210209,30.6645,292.66692537934296,35.102793656677655
1342234349,"HD 146621",64.65503307104942,"PACS70","70",0.0110013,0.00138815,7.83775,243.92588779760862,35.64099719333295
1342237722,"HD 9222",93.7954321624537,"PACS70","70",0.00161442,0.000868914,2.70335,23.34830154044499,71.55442614127003
1342238055,"HD 136544",67.0690811535882,"PACS70","70",0.00248307,0.00248307,0.546149,230.3858508437419,-6.826700834238825
1342238767,"HD 141133",113.75399560909577,"PACS70","70",0.158313,0.00107361,35.891,237.12690818134806,-32.08666438883935
1342238769,"HD 139731",87.61247251158674,"PACS70","70",0.0998363,0.00129835,33.5266,235.1574765157857,-25.592646736988165
1342238818,"HD 151376",118.23126034523528,"PACS70","70",0.00762782,0.000638031,6.68679,251.9471805169989,-19.875635420324695
1342238820,"HD 149807",106.7497891691664,"PACS70","70",0.0275651,0.00168497,12.0272,249.3745676945789,-11.869945714122021
1342240670,"HD 176383",79.0538831267392,"PACS70","70",0.00128262,0.00128262,3.40311,285.36951341309833,-34.37671010979613
1342241361,"HD 153701",37.70881254949282,"PACS70","70",0.0152592,0.00233376,8.40057,255.11935638508746,15.159823000407112
1342241501,"HD 151360",154.73887814313346,"PACS70","70",0.0239277,0.000361118,15.844,252.07045704630045,-31.85039736430841
1342243720,"HD 186025",148.05164041217577,"PACS70","70",0.00883578,0.000934293,4.70834,295.493011297185,1.1817664568482973
1342241404,"TYC 6869-1277-1",37.64464956595719,"PACS100","100",0.0112142,0.00541438,5.60572,276.95618642215635,-29.816806724100232
1342243726,"TYC 2150-5013-1",52.07004462402825,"PACS100","100",0.00337656,0.00337656,1.29744,294.2987984064459,28.4995850468598
1342225091,"2MASS J12035905-3821402",80.20918555592986,"PACS70","70",0.0000226189,0.0000226189,1.41672,180.99584135328155,-38.361260992776884
1342218536,"HD 195434",48.543689320388346,"PACS70","70",0.00255764,0.00255764,1.85786,307.8070633141115,5.219917361107268
1342218706,"V* HZ Aqr",43.035370771236884,"PACS70","70",0.00138245,0.00138245,1.46993,323.0510007510894,0.2217932899993275
1342218706,"2MASS J21321194+0013180",43.035370771236884,"PACS70","70",0.00138245,0.00138245,1.46993,323.0510007510894,0.2217932899993275
1342223975,"V* KT Peg",48.13408229965391,"PACS70","70",0.00573888,0.00573888,-4.05486,354.8801522575095,28.24723442187581
1342223977,"HD 224085",39.36295001692607,"PACS70","70",0.0181866,0.0132956,2.44955,358.7689903196163,28.633790236454896
1342223979,"V* LN Peg",44.08821169395727,"PACS70","70",0.00274804,0.00274804,0.973461,3.1273411594448763,14.563313368657996
1342225399,"V* HS Lup",41.85764215901718,"PACS70","70",0.00328143,0.00328143,-0.420386,226.9900796439736,-45.579759994179604
1342230102,"V* LU Hya",49.49025042066713,"PACS70","70",0.00781706,0.00781706,-0.643635,126.30827484760438,-7.170270301943843
1342233107,"V* LR Hya",34.77172363434055,"PACS70","70",0.00345261,0.00345261,1.37205,159.00969178827583,-11.91417728450067
1342238046,"V* IR Eri",51.189123335073766,"PACS70","70",0.00211521,0.00211521,0.532017,45.63653302914955,-15.272454684951654
1342231566,"NGC 2438",422.17249968337063,"PACS70","70",0.674908,0.0000000890567,0.10909,115.46047891530233,-14.735404217036741
1342231133,"2MASS J09024011-0143497",862.44070720138,"PACS100","100",0.0593881,0.000011558,18.3905,135.66711093811304,-1.7305004960181296
1342231135,"TYC 226-597-1",2738.225629791895,"PACS100","100",0.0103013,0.0000607566,6.80781,135.81633684562956,1.966931556389152
1342270943,"L 788-34",7.237031601222189,"PACS100","100",0.00753644,0.0011946,3.37772,335.78035305504744,-17.60997543231807
